SKU,Manufacturer_ID,Brand_Name,Product_Name,Long_Description,Short_description,Category,Subcategory,Product_Group,Thumb_URL,Image_URL,Buy_Link,Keywords,Reviews,Retail_Price,Brand_Page_Link,Brand_Logo_Image,Item_Based_Commission
WBSG2701,,,ROD CENTERPIN SERIES,,"<div id=""col_md_hdr"">\r\n<h1>CP Series</h1>\r\n</div>\r\n\r\n\r\n<div id=""col_md_txt"">\r\nTwo slow- to medium-action ""centerpin"" models available. Both feature\r\nan olive green blank and progressive actions that carry right through\r\nto the cork handle, allowing for very controlled spool speed build-up.\r\nThis translates into longer, more accurate casts with less chance of\r\nline overrun. CP Series rods are equipped with an attractive black\r\nanodized aluminum reel seat and a lightweight, comfortable neoprene\r\nbutt cap. The 10'6"" model is perfect for small-to medium-sized rivers\r\nwhile the 11'3"" rod will provide the length and power needed to fish\r\nmedium-to-large rivers.</div>",Equipment,,,http://www.westbranchangler.com/site/images/items/120x120/				sage_cp_Series.jpg,http://www.westbranchangler.com/site/images/items/325x325/				sage_cp_Series.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSG2701,,,540,,,
WBSG2703,,,ROD SPIN SERIES,,"<div id=""col_md_hdr"">\r\n<h1>SP Series</h1>\r\n</div>\r\n\r\n\r\n<div id=""col_md_txt"">\r\nEight ""spinning"" models ranging in lengths from 6' to 9'6"". For travel\r\nand overall convenience, six and seven foot rods are offered in\r\n3-piece. Available in four different ""powers,"" these rods provide a\r\ndiverse range of applications. Longer 2-piece models are designed with\r\namazing lightness and sensitivity, yet powerful enough to battle large\r\nsalmon and steelhead. They feature solid titanium framed guides with\r\nsuper-strong NanoliteTM ceramic rings, providing ultimate performance.</div>",Equipment,,,http://www.westbranchangler.com/site/images/items/120x120/				sage_sp_rods.jpg,http://www.westbranchangler.com/site/images/items/325x325/				sage_sp_rods.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSG2703,,,380,,,
WBSG320,,,2500 FLY REEL SERIES,,"<div id=""col_md_hdr""><h1>2500 Series</h1></div><div id=""col_md_txt""> Our 2500 Series lightweight, large-arbor reels feature a unique offset 3:1 gear reduction drag system and numbered repeatable adjustment knob for consistent operation in all conditions. Self-lubricating drive gears and sealed graphite drag washers mean 2500 Series reels are maintenance free and unaffected by sand dunkings or blistering runs. These reels are made from hard-anodized aerospace-grade aluminum and are approximately 20% lighter than equivalent size 3000D reels.<br><div style=""text-align: center;""><br></div><div style=""text-align: center;""><img src=""http://www.sageflyfish.com/dimg/f0a4965996b0d267af29fe8dc3bcb79d.jpg"" alt=""2540""></div></div>",Equipment,,,http://www.westbranchangler.com/site/images/items/120x120/				2500_series_reels.jpg,http://www.westbranchangler.com/site/images/items/325x325/				2500_series_reels.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSG320,,,145,,,
WBSG32,,,3000 SERIES FLY REEL (DISK DRAG),,"<div id=""col_md_hdr""><h1>3000D Series</h1></div><div id=""col_md_txt""> Anglers who have fished the Sage 3000 Series reels rank them among the finest in the world. Built with the same commitment to craftsmanship quality materials and innovation you've come to expect from our rods the 3000 Series is on the cutting edge of modern reel design. Take the buttery-smooth drag system of our 3000D Series for instance. It features a completely sealed multi-graphite disk drag system so you never have to worry about water dirt or sand.<br><br><div style=""text-align: center;""><span style=""font-weight: bold;"">3000D</span><br></div></div><div align=""center""><br><img src=""http://www.sageflyfish.com/dimg/d6a01512002756950540c1e88691f270.jpg"" alt=""3300""></div>",Equipment,,,http://www.westbranchangler.com/site/images/items/120x120/				3000_series_reels.jpg,http://www.westbranchangler.com/site/images/items/325x325/				3000_series_reels.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSG32,,,125,,,
WBSG330,,,MODEL 1600 / 1800 FLY REELS,,"<div id=""col_md_hdr""><h1>1600 / 1800 Series Click &amp; Pawl <br></h1>Incredible performance - unbelievable price. Our new 1600 and 1800 Series reels feature a light all-aluminum construction large-arbor quick-release spool change and premium sealed graphite drag system. The innovative ""floating tripod"" drag provides the kind of smooth startup consistency and power you'd expect from a reel costing three times as much. Go ahead, check the prices below-like we said hard to believe. </div><br><br><br>",Equipment,,,http://www.westbranchangler.com/site/images/items/120x120/				1600-1800-series-reels.jpg,http://www.westbranchangler.com/site/images/items/325x325/				1600-1800-series-reels.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSG330,,,40,,,
WBSG7141,,,"HAT ""BIG D'S FAVORITE""",,"Lightweight micro-fiber hat with long bill. Sage oval logo embroidered\r\non front. Adjustable Velcro at back. Stone, Navy or Red; one size",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				big_d_favorite.gif,http://www.westbranchangler.com/site/images/items/325x325/				big_d_favorite.gif,http://www.westbranchangler.com/cgi-bin/site/WBSG7141,,,22,,,
WBSG7146,,,HAT MESH BACK,,"Six-panel, structured ""trucker"" style cap. 100% cotton twill front with\r\nsoft mesh sides and back. Velcro™ closure. Navy/White, Khaki/White,\r\nBrown/Tan.",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				sage_mest_back_hat.jpg,http://www.westbranchangler.com/site/images/items/325x325/				sage_mest_back_hat.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSG7146,,,22,,,
WBSG7149,,,Hat Full Brim,,"Lightweight nylon hat with mesh lining to aid in moisture transfer.\r\nInternal webbing strap on inside and adjustable chin strap help to keep\r\nthe hat in place in windy days. Sand; one size.",Clothing,,,"http://www.westbranchangler.com/site/images/items/120x120/				","http://www.westbranchangler.com/site/images/items/325x325/				",http://www.westbranchangler.com/cgi-bin/site/WBSG7149,,,30,,,
WBSG7158,,,Hat Beanie Wool-Max,,"\r\nWoven label, Cool-Max™ Wool beanie, lightweight and versatile, layers under a standard hat. Olive, Navy.",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				sage_beanie.jpeg,http://www.westbranchangler.com/site/images/items/325x325/				sage_beanie.jpeg,http://www.westbranchangler.com/cgi-bin/site/WBSG7158,,,22,,,
WBSG7201,,,"Micro Fleece ""Evening Rise"" Zip Neck",,,,,,"http://www.westbranchangler.com/site/images/items/120x120/				","http://www.westbranchangler.com/site/images/items/325x325/				",http://www.westbranchangler.com/cgi-bin/site/WBSG7201,,,60,,,
