sku	item_id	description	comment	comment_short	image	price	wholesale	sale_price	prod_group	category	manufacturer	merchandising	gender	weight	option_type	gift_cert	related	featured	inactive	sort_order	thumb_folder	image_folder	buylink_sub	item_aff_url	item_aff_txt	item_aff_code	manufacturer_id	flypage
WBSFWCY10	722	KIDS STOCKINGFOOT	<ul id="productdetails"><li><span class="nn4">3-layer GORE-TEXÆ ImmersionÆ technology</span></li><li><span class="nn4">Adjustable elastic 1&quot; suspenders</span></li><li><span class="nn4">Built-in belt loop</span></li><li><span class="nn4">Reinforced knee</span></li><li><span class="nn4">3.5mm, high-density neoprene stockingfoot</span></li><li><span class="nn4">Easily convert to waist highs</span></li><li><span class="nn4">Nylon wading belt included</span></li><li><span class="nn4">Every pair manufactured and tested in Bozeman, Montana</span></li></ul>	A Simms exclusive, these are the only GORE-TEXÆ waders on the market designed for children.	kids_stocking_large.jpg	139.95			Clothing	Waders	Simms	none			Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage.html
WBSFWBF10	723	BLACKFOOT STOCKINGFOOT WADERS	<ul id="productdetails"><li><span class="nn4">4-layer QuadraLam fabric technology</span></li><li><span class="nn4">Gusseted crotch for enhanced mobility</span></li><li><span class="nn4">Built-in belt loop</span></li><li><span class="nn4">3.5mm high-density neoprene stockingfoot with hourglass design</span></li><li><span class="nn4">Easily convert to waist highs</span></li><li><span class="nn4">Nylon wading belt included</span></li><li><span class="nn4">Every pair manufactured and tested in Bozeman, Montana</span></li></ul><p><img height="11" width="28" alt="Sizes" src="http://www.westbranchangler.com/images/simms/waders/title_sizes.gif" /><a href="http://cache.simmsfishing.com/simms/images/Wader_Chart_Mens_08.jpg" target="_blank"><img height="16" width="55" border="0" src="http://www.westbranchangler.com/images/simms/waders/formbutton_wader_size_chart.gif" /></a></p>	A durable, packable no-frills wader at our lowest price.	blackfoot_stocking_large.jpg	149.95		109.95	Clothing	Waders	Simms	discontinued		3	Matrix_Reloaded				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				blackfoot_stockingfoot_2007	flypage_show_stock.html
WBSFWBE	724	EXSTREAM BOOTFOOT WADERS	<span style="font-weight: bold;"></span><span style="font-weight: bold; color: rgb(255, 0, 0);">WE STOCK ALL SIZES AND MODELS</span><br /><span style="font-weight: bold;"></span><ul id="productdetails"><li>4-layer QuadraLamô fabric technology</li><li>Bi-component construction absorbs sweat and pumps moisture away from the body</li><li>Adjustable elastic 1.5&quot; suspender with YKKÆ non-locking buckles</li><li>Flip-out, zippered chest pocket with key cord and exterior check pocket with zippered closure</li><li>Fleece-lined hand warmer pocket features a DWR treatment for water resistance and interior compartments for hard-warmer inserts</li><li>5-layer front leg panel for added durability with articulated knees for increased mobility</li><li>Built-in belt loop &amp; nylon wading belt included</li><li>Features Muck Arctic Sportô boot - rated to 40 degrees below zero</li><li>The boot is made with fleece-lined spacer mesh and a 7mm neoprene upper with a molded rubber outsole</li><li>Available in felt or lug sole</li></ul><span style="font-weight: bold;">&nbsp;</span>	The warmest bootfoot boot on a super durable upper. This wader is essential equipment for cold-weather fishing.	exstream_bootfoot_large.jpg	399.95		299.95	Clothing	Waders	Simms	discontinued			Matrix_Reloaded				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				exstream_bootoots	flypage.html
WBSFVG5	725	G3 GUIDE VEST	<ul id="productdetails"><li><span class="nn4">Shoulders feature contoured spacer net for ventilation</span></li><li><span class="nn4">Non-crushable knit collar will not retain water</span></li><li><span class="nn4">Magnetic buckle &amp; zipper closure with whistle zipper pull</span></li><li><span class="nn4">Magnetic tool catcher positioned below retractors</span></li><li><span class="nn4">Thermolaminated tippet pockets with zipper closure</span></li><li><span class="nn4">Patent pending molded foam pockets</span></li><li><span class="nn4">Handy floatant cap</span></li><li><span class="nn4">Available in sizes S-XXL</span></li><li><span class="nn4"><span style="font-style: italic;" class="nn4small">Imported</span></span></li></ul>	The G3 is an incredibly functional, great-looking, high-tech vest.	g3_vest_orange.jpg	179.95			Clothing	Vests	Simms	none		3	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				g3_guide_vest_09	flypage.html
WBSFVF	726	FREESTONE MESH VEST DISCONTINUED	<ul id="productdetails"><li><span class="nn4">2 large horizontal pockets</span></li><li><span class="nn4">4 medium chest pockets</span></li><li><span class="nn4">1 zippered back pocket</span></li><li><span class="nn4">Patented built-in retractors</span></li><li><span class="nn4">Comfortable polyester mesh</span></li><li><span class="nn4">Rib knit collar</span></li><li><span class="nn4">Available in sizes S - XXL</span></li><li><span class="nn4"><span style="font-style: italic;" class="nn4small">Imported</span></span></li></ul>	This design is lightweight and highly functional. Perfect for warm weather fishing.	freestone_mesh_large.jpg	79.95			Clothing	Vests	Simms	discontinued		3	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage_show_stock.html
WBSFVC5	727	CLASSIC GUIDE VEST DISCONTINUED	<ul id="productdetails"><li><span class="nn4">Horizontal &quot;Guide&quot; pocket layout</span></li><li><span class="nn4">Intermediate length</span></li><li><span class="nn4">4 zippered chest pockets:  2 large, 2 medium</span></li><li><span class="nn4">4 medium, bellowed pockets with hook &amp; loop closure</span></li><li><span class="nn4">2 small, bellowed pockets with hook &amp; loop closure</span></li><li><span class="nn4">4 internal pockets with zipper closure</span></li><li><span class="nn4">Patented built-in retractors</span></li><li><span class="nn4">100% nylon</span></li><li><span class="nn4"><span class="nn4small" style="font-style: italic;">Imported</span></span></li></ul>	Traditional styling, time-proven features. One of our most popular vests.	vm-cgv5_zoom.jpg	119.95			Clothing	Vests	Simms	discontinued		2	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage_show_stock.html
WBSFULTI10	728	RIVERTEK MIDWEIGHT ZIP TOP	<ul id="productdetails"><li><span class="nn4">PolartecÆ fabric technology with SPF 40+ sun protection</span></li><li><span class="nn4">Power DryÆ 4-way stretch fabric in shoulders and 2-way stretch in body</span></li><li><span class="nn4">PolartecÆ X-StaticÆ odor resistant mesh in armpits</span></li><li><span class="nn4">Polypropylene/LycraÆ cuffs resists moisture wicking when releasing a fish</span></li><li><span class="nn4">Anti-odor treatment applied to fabric resists growth of odor-causing bacteria</span></li><li><span class="nn4">Wicking performance lasts the life of the garment</span></li><li><span class="nn4">Durable non-pilling surface spreads sweat out over a wide area for rapid evaporation</span></li><li><span class="nn4">Zip Top allows for quick ventilation</span></li><li><span class="nn4"><span class="nn4small" style="font-style: italic;">Imported</span></span></li></ul>	The RiverTek Midweight Zip Top is designed specifically for fishing, utilizing multi-fabric construction to provide maximum perf	RTMidweightTop_Coal-Red.jpg	69.95			Discontinued	Layering	Simms	discontinued		.75	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage_show_stock.html
WBSFSWS180	729	WADING SOCK	<ul id="productdetails"><li><span class="nn4">77% Merino Wool/22% Stretch Nylon/1% LycraÆ Spandex</span></li><li><span class="nn4">Nylon plaited to sock exterior for more durability</span></li><li><span class="nn4">Fully cushioned foot</span></li><li><span class="nn4">Sizes:  M (Men's 8-10), L (Men's 10-12), XL (Men's 12-13)</span></li><li><span class="nn4"><span class="nn4small" style="font-style: italic;">Imported</span></span></li></ul>	A warm, comfortable sock that absorbs moisture. Great for wearing with waders.	simms_wading_socks.jpg	19.95			Clothing	Socks	Simms	discontinued		.5	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage_show_stock.html
WBSFST	730	RIVERSHED WADING BOOT VIBRAM STREAMTREAD / FELT / AQUASTEALTH	<ul id="productdetails"><li><span class="nn4">Full synthetic construction</span></li><li><span class="nn4">Rubber coated ballistic nylon mesh panels </span></li><li><span class="nn4">Full perimeter rubber rand offers superior durability and ease of cleaning </span></li><li><span class="nn4">Fully neoprene lined </span></li><li><span class="nn4">Dual-density EVA midsole </span></li><li><span class="nn4">Sturdy asymmetrical molded toe box with rubber cap for protection and durability </span></li><li><span class="nn4">High quality, non-corrosive hardware </span></li><li><span class="nn4">Pull-on heel loop </span></li><li><span class="nn4">High quality, long lasting nylon laces </span></li><li><span class="nn4"><span style="font-style: italic;" class="nn4small">Imported<br /></span></span><div style="text-align: center;"><span style="text-decoration: underline;" class="nn4">Vibram Streamtread Models</span><br /></div></li><li>Features the new <a href="http://www.simmsfishing.com/site/streamtread.html">StreamTream</a>; traction sole with Vibram Idrogrip 360 traction lug sole<div style="text-align: center;"><span style="text-decoration: underline;" class="nn4">AquaStealthÆ Models</span><br /></div><span class="nn4">AquaStealthÆ sole features &quot;sticky rubber&quot; forexceptional tracking and durability; these soles are particularly goodfor backcountry fishing and easy cleaning</span></li></ul>	A more athletic, lighter boot for anglers who want to hike to the North Country. 100% synthetic upper construction facilitates e	rivershed_wading_as_large.jpg	139.95			Clothing	Boots	Simms	new		3	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				rivershed_wading_boot_streamtread	flypage.html
WBSFSS	731	HEADWATERS WADING BOOT STREAMTREAD FELT / STUDDED AQUASTEALTH	<ul id="productdetails"><li><span class="nn4">CleanStream design utilizes synthetic leather upper for easy cleaning and lightweight comfort</span></li><li><span class="nn4">SchoellerÆ-dynatec mesh panels with NanoSphereÆ treatment for easy cleaning</span></li><li><span class="nn4">Fully gusseted neoprene tongue prevents entry of debris</span></li><li><span class="nn4">EVA wedge midsole construction offers super lightweight footbed protection</span></li><li><span class="nn4">Molded rubber toe and heel wraps provide abrasion resistance</span></li><li><span class="nn4">High quality, non-corrosive hardware</span></li><li><span class="nn4">Pull-on heel loop</span></li><li><span class="nn4">Contoured speed lacing system and high quality nylon laces</span></li><li><span class="nn4"><span style="font-style: italic;" class="nn4small">Imported<br /><br /></span></span><div style="text-align: center;"><span style="text-decoration: underline;" class="nn4">Vibram Streamtread Models<br /></span><br /></div></li><li>Features our new <a href="http://www.simmsfishing.com/site/streamtread.html">StreamTream</a>; traction sole with Vibram Idrogrip 360 traction lug sole</li></ul><div style="text-align: center;"><span style="text-decoration: underline;" class="nn4">AquaStealthÆ Models</span><br /></div><ul id="productdetails"><li><span class="nn4">AquaStealthÆ sole features &quot;sticky rubber&quot; forexceptional tracking and durability; these soles are particularly goodfor backcountry fishing and easy cleaning</span></li></ul>	Lace up our lightest boots without taking a hit to your budget. The Headwaters carry a featherweight price tag and deliver rugge	headwater_wading_boot_felt_large.jpg	99.95			Clothing	Boots	Simms	new		3	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				headwaters_wading_boot_aquasteath_	flypage.html
WBSFSSF	732	RIVER SANDAL	<ul id="productdetails"><li><span class="nn4">Heavy-duty rubber toe guard</span></li><li><span class="nn4">Nylon webbing/neoprene construction</span></li><li><span class="nn4">Textured rubber footbed</span></li><li><span class="nn4">Side-release buckle with adjustable strap</span></li><li><span class="nn4">Felt/rubber sole combination</span></li><li><span class="nn4"><span class="nn4small" style="font-style: italic;">Imported</span></span></li></ul>	The heaviest-duty fishing sandal on the market today. Great toe protection, plus a unique felt and rubber sole for traction.	river_sandal.jpg	79.95		59.95	Clothing	Boots	Simms	discontinued		2	Matrix_Reloaded				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage_show_stock.html
WBSFSN	733	FREESTONE BOOT VIBRAM STREAMTREAD	<ul id="productdetails"><li><span class="nn4">Synthetic construction offers minimal water absorption</span></li><li><span class="nn4">Padded collar &amp; tongue</span></li><li><span class="nn4">Generous gusseted tongue for ease of entry and exit</span></li><li><span class="nn4">Molded internal heel and toe counters for excellent fit</span></li><li><span class="nn4">Nylon speed laces minimize weight</span></li><li><span class="nn4">EVA wedge with rubber midsole provide stable footbed</span></li><li><span class="nn4">Fully neoprene lined</span></li><li><span class="nn4">High quality nylon laces</span></li><li><span class="nn4"><span style="font-style: italic;" class="nn4small">Imported<br /><br /></span></span><div style="text-align: center;"><span class="nn4"><span class="nn4small"><span style="text-decoration: underline;">Vibram Streamtread Sole Models</span></span></span></div></li><li><div style="text-align: left;"><span class="nn4"><span class="nn4small"><span style="text-decoration: underline;"></span></span><span style="font-style: italic;" class="nn4small"></span></span>Features the new <a href="http://www.simmsfishing.com/site/streamtread.html">StreamTread</a>; traction sole with VibramÆ Idrogripô 360 traction lug sole<br /><span class="nn4"><span style="font-style: italic;" class="nn4small"></span></span></div><span class="nn4"><span style="font-style: italic;" class="nn4small"></span></span><div style="text-align: right;"><div style="text-align: center;"><span class="nn4"><span class="nn4small"><span style="text-decoration: underline;">Studded Felt Models</span></span></span></div></div></li><li><span class="nn4">7/16th high-density, stitched felt sole and carbide-tipped studs offer superior durability and traction</span><div style="text-align: center;"><span class="nn4"><span class="nn4small"><span style="text-decoration: underline;">Felt Sole Models</span></span></span></div><span class="nn4"><span class="nn4small"><span style="text-decoration: underline;"></span></span><span style="font-style: italic;" class="nn4small"></span></span><span class="nn4">7/16th high-density, stitched felt sole offers superior durability</span></li></ul>	An updated version of a Simms favorite. The new Freestone offers outstanding quality and comfort at a fantastic price.	freestone_felt_large.jpg	129.95			Clothing	Boots	Simms	new		6	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				freestone_wading_boot_studded_felt	flypage.html
