code	store_id	order_number	session	username	shipmode	sku	UPC_No	quantity	price	subtotal	shipping	taxable	size	color	options	order_date	update_date	status	parent	affiliate	campaign	description
WBA32233-2		WBA32233	QMpnCAfV	U00214		WBSFOCG10-703-70		1	349.95	349.95					WBSFOCG10-703-70	20080825	2008-08-25 09:21:51	shipped		265?expandable=		CLASSIC GUIDE JACKET LODEN 3XL
WBA32234-1		WBA32234	Lr3HNjb5	U00215		WBSFPDB10-84300		1	129.95	129.95					WBSFPDB10-84300	20080825	2008-08-25 14:59:12	pending				DRY CREEK BACKPACK STERLING
WBA32235-1		WBA32235	UVyC7a5D	U00216		WBSFCSH10-807-30		1	49.95	49.95					807, 30	20080826	2008-09-04 11:18:11	partial				3XDRY SUPERLIGHT SHORT LT KHAKI M
WBA32235-2		WBA32235	UVyC7a5D	U00216		WBSFCBS10-606-30		1	29.95	29.95					WBSFCBS10-606-30	20080826	2008-09-04 11:18:11	partial				WADING TRUNK BLUE M
WBA32236-1		WBA32236	WAYv7ZuD	U00217		WBSFHCL10-88000		1	16.95	16.95					WBSFHCL10-88000	20080826	2008-08-27 11:55:02	partial				CLASSIC LOGO CAP ORANGE
WBA32237-1		WBA32237	26KPpk2k	U00218		WBSFHWC10-82000		1	19.95	19.95					WBSFHWC10-82000	20080827	2008-08-27 11:43:16	partial				WAXED CANVAS CAP BROWN
WBA32238-1		WBA32238	u54dt9jE	U00219		WBSFCSH10-807-30		1	49.95	49.95					807, 30	20080828	2008-09-24 12:51:38	partial				3XDRY SUPERLIGHT SHORT LT KHAKI M
WBA32239-1		WBA32239	aRqZupZE	U00220		WBSFHWC10-82000		1	19.95	19.95					WBSFHWC10-82000	20080902	2008-09-02 11:25:29	pending				WAXED CANVAS CAP BROWN
WBA32240-1		WBA32240	ieixJzYX	U00221		WBSFHKC108-0300		1	19.95	19.95					WBSFHKC108-0300	20080903	2008-09-04 11:49:25	partial				KRIEGER CRUSHER LODEN
WBA32241-1		WBA32241	2tropDdu	U00222		WBSFHCL10-60700		2	16.95	33.90					WBSFHCL10-60700	20080903	2008-09-04 14:06:35	partial				CLASSIC LOGO CAP LT TAN
