SKU,Manufacturer_ID,Brand_Name,Product_Name,Short_Description,Category,Subcategory,Thumb_URL,Image_URL,Buy_Link,Retail_Price
WBSFPDC109,dry_creek_chest_pack_09,Simms,DRY CREEK CHEST PACK ,"Attach this minimalist bag to our Dry Creek™ or Headwaters™ packs or wear it solo one of our belts for 384 cubic inches of water-resistant, durable storage.",Packs,Hip_Chest_Packs,http://www.westbranchangler.com/site/images/items/120x120/simms_dry_creek_chest_pack_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_dry_creek_chest_pack_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPDC109,79.95
WBSFPDB109,dry_creek_day_pack,Simms,DRY CREEK DAY PACK ,"More than just a great fitting day pack, it easily converts into a multi-functional fishing system by attaching one of our Dry Creek™ or Headwaters™ packs. (shown with optional chest pack)",Packs,Backpacks,http://www.westbranchangler.com/site/images/items/120x120/simms_dry_creek_roll_top_backpack.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_dry_creek_roll_top_backpack.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPDB109,129.95
WBSFLDD109,dry_creek_duffel_small,Simms,DRY CREEK DUFFEL ,"Made with the highest quality materials, these waterproof bags are available in small, medium or large sizes. ",Bags,Luggage,http://www.westbranchangler.com/site/images/items/120x120/photo_not_available.gif,http://www.westbranchangler.com/site/images/items/325x325/photo_not_available.gif,http://www.westbranchangler.com/cgi-bin/site/WBSFLDD109,139.95
WBSFPFP109,dry_creek_flats_pack,Simms,DRY CREEK FLATS PACK ,"Built to protect your necessities from saltwater corrosion, this straightforward design wears on your waist or as a sling pack. A simple, weatherproof storage system.",Packs,Hip_Chest_Packs,http://www.westbranchangler.com/site/images/items/120x120/simms_dry_creek _flats_pack.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_dry_creek _flats_pack.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPFP109,89.95
WBSFPGB109,dry_creek_guide_backpack,Simms,DRY CREEK GUIDE BACKPACK ,Pick this high storage pack off the luggage carousel and carry it through a storm knowing that all of the gear you packed will stay as dry as when you packed it.,Packs,Backpacks,http://www.westbranchangler.com/site/images/items/120x120/simms_drycreek_guide_backpack_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_drycreek_guide_backpack_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPGB109,189.95
WBSFPRP109,dry_creek_roll_top_backpack,Simms,DRY CREEK ROLLTOP BACKPACK ,"Just toss our super tough 1,365 cubic inch pack into the boat and forget about it. Well placed access points make it simple to find your gear, and easily add-on our Dry Creek™ and Headwaters™ packs when needed.",Packs,Backpacks,http://www.westbranchangler.com/site/images/items/120x120/simms_dry_creek_roll_top_backpack.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_dry_creek_roll_top_backpack.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPRP109,149.95
WBSFLRW109,dry_creek_rolltop,Simms,DRY CREEK ROLL TOP ,A durable bag for gear transport and waterproof storage.,Packs,Gear Bags,http://www.westbranchangler.com/site/images/items/120x120/simms_dry_creek_roll_top.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_dry_creek_roll_top.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFLRW109,49.95
WBSFPTP109,dry_creek_tech_pouch,Simms,DRY CREEK TECH POUCH,"This waterproof pouch provides excellent storage for a cell phone, blackberry or GPS. The best insurance against drowning your technical device while in a rain jacket or vest pocket. ",Packs,Gear Bags,http://www.westbranchangler.com/site/images/items/120x120/simms_tech_pouch_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_tech_pouch_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPTP109,14.95
WBSFPSP109,dry_creek_tournament_tote,Simms,DRY CREEK TOURNAMENT TOTE ,"Stuff your gear in our durable tote, tug the backpack straps to close it and head for open water. ",Packs,Gear Bags,http://www.westbranchangler.com/site/images/items/120x120/simms_drycreek_tote_pack.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_drycreek_tote_pack.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPSP109,79.95
WBSFLDW109,dry_creek_wader_bag,Simms,DRY CREEK WADER BAG ,A long-awaited technical wader bag from Simms. Stores wet and dry gear - goes anywhere. ,Packs,Gear Bags,http://www.westbranchangler.com/site/images/items/120x120/photo_not_available.gif,http://www.westbranchangler.com/site/images/items/325x325/photo_not_available.gif,http://www.westbranchangler.com/cgi-bin/site/WBSFLDW109,149.95
WBSFHEB106,exstream_balaclava,Simms,EXSTREAM BALACLAVA        ,The new ExStream Balaclava is made from 200 series fleece and offers full head and neck coverage.,Clothing,Hats,http://www.westbranchangler.com/site/images/items/120x120/extreme_balaclava.jpg,http://www.westbranchangler.com/site/images/items/325x325/extreme_balaclava.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFHEB106,29.95
WBSFWBE,exstream_bootoots_08_lug,Simms,EXSTREAM BOOTFOOTS LUG ,The warmest bootfoot boot on a super durable upper. This wader is essential equipment for cold-weather fishing. ,Clothing,Waders,http://www.westbranchangler.com/site/images/items/120x120/exstream_bootfoot_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/exstream_bootfoot_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWBE,399.95
WBSFWBE,exstream_bootoots_08_felt,Simms,EXSTREAM BOOTFOOTS FELT,The warmest bootfoot boot on a super durable upper. This wader is essential equipment for cold-weather fishing. ,Clothing,Waders,http://www.westbranchangler.com/site/images/items/120x120/exstream_bootfoot_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/exstream_bootfoot_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWBE,429.95
