code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url	member
114		2					WBSFHGE106		GORE-TEX EXSTREAM HAT		0								
115		2					WBSFHKC108		KRIEGER CRUSHER		0								
116		2					WBSFHMF108		MICROFIBER CAP		0								
117		2					WBSFASF50		SALTWATER FISHING HAT TAN		0								
118		2					WBSFHSS106		SOLAR SOMBRERO		0								
119		2					WBSFASC		SUNCLAVA		0								
120		2					WBSFHRH108		SUNSHIELD HAT		0								
121		2					WBSFHTT107		TECH TWILL CAP		0								
122		2					WBSFHTR108		TRUCKER CAP		0								
123		2					WBSFHWT10		WASHED TWILL SB		0								
124		2					WBSFASH		WASHED TWILL SB		0								
125		2					WBSFHWC10		WAXED CANVAS CAP		0								
126		2					WBSFASK		WINDSTOPPER  STOCKING CAP		0								
127		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Layering/op=eq/tf=description		Layering		0								
128		2					WBSFLSP10864		 GUIDE FLEECE PANT		0								
129		2					WBSFCSF10		DOBBY POLARTEC PULLOVER		0								
130		2					WBSFFT		RIVERTEK HEAVYWEIGHT ZIP TOP		0								
131		2					WBSFLP		RIVERTEK MIDWEIGHT BOTTOM		0								
132		2					WBSFULTI10		RIVERTEK MIDWEIGHT ZIP TOP		0								
133		2					WBSFLWB108		WADERWICK BOTTOM		0								
134		2					WBSFLWC10		WADERWICK CREW TOP		0								
135		2					WBSFLMB10		WADERWICK FLEECE PANT		0								
136		2					WBSFLMT10		WADERWICK FLEECE TOP		0								
137		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Outerwear/op=eq/tf=description		Outerwear		0								
138		2					WBSFRA		 IN-VEST JACKET		0								
139		2					WBSFOCG10		CLASSIC GUIDE JACKET		0								
140		2					WBSFOXJ10		EXSTREAM INSULATED JACKET		0								
141		2					WBSFOFJ10		FREESTONE JACKET		0								
142		2					WBSFOFS10		FREESTONE SOFT SHELL JACKET		0								
143		2					WBSFRJ		G3 GUIDE JACKET		0								
144		2					WBSFOGG10		G4 PRO JACKET		0								
145		2					WBSFOPJ10		PACLITE JACKET		0								
146		2					WBSFRP		PACLITE RAIN PANT		0								
147		2					WBSFORS10		RIVERSHED WADING JACKET		0								
148		2					WBSFOSV10		SUPERLIGHT INSULATED VEST		0								
149		2					WBSFOWJ10		WIND STOPPER DL JACKET		0								
150		2					WBSFOWV10		WIND STOPPER DL VEST		0								
151		2					WBSFOWS10		WINDSTOPPER SOFT SHELL JACKET		0								
152		2					WBSFOWG10		WOMEN'S GORE-TEX JACKET		0								
153		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Socks/op=eq/tf=description		Socks		0								
154		2					WBSFMS481		EXSTREAM WADING SOCKS		0								
155		2					WBSFMS406		SPORT CREW SOCK		0								
