code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url	member
0		2					WBSFCGD10		3XDRY GUIDE PANT		0								
0		2					WBSFCGS10		3XDRY GUIDESHORT		0								
0		2					WBSFCFA10		BROOK TROUT T-SHIRT SS		0								
0		2					WBSFCFB10		CUTTHROAT T-SHIRT SS		0								
0		2					WBSFLDD10		DRY CREEK DUFFEL		0								
0		2					WBSFBDR		DRY CREEK ROLL TOP		0								
0		2					WBSFWBE		EXSTREAM BOOTFOOTS		0								
0		2					WBSFSB2		FLATSSNEAKER		0								
0		2					WBSG8600		FLY LINE PERFORMANCE TAPER II		0								
0		2					WBSFCTS20		FLY TROUT SS		0								
0		2					WBSG8601		FLYLINE EQUATOR II SALTWATER		0								
0		2					WBSG8602		FLYLINE QUIET TAPER II		0								
0		2					WBSG7141		Hat "Big D's Fav"		0								
0		2					WBSG7158		Hat Beanie Wool-Max		0								
0		2					WBSG7149		Hat Full Brim		0								
0		2					WBSG7146		Hat Mesh Back		0								
0		2					WBSG7154		Hat Oil Cloth		0								
0		2					WBSG7157		Hat Small Fit		0								
0		2					WBSG7153		Hat Tactel		0								
0		2					WBSG7155		Hat Topstitch		0								
0		2					WBSG7152		Hat Unstructured Cotton FlexFit		0								
0		2					WBSG7156		Hat Waterproof Longbill		0								
0		2					WBSFCFC10		LARGEMOUTH BASS T-SHIRT SS		0								
0		2					WBSG7670		Luggage and Packs		0								
0		2					WBSG7201		Micro Fleece "Evening Rise" Zip Neck		0								
0		2					WBSFALW		NYLON WEB BELT LADDERLOCK		0								
0		2					WBSFCSA10		PERMIT T-SHIRT LS		0								
0		2					WBSFCFD10		RAINBOW TROUT T-SHIRT SS		0								
0		2					WBSFCSB10		REDFISH T-SHIRT LS		0								
0		2					WBSG2700		ROD CASTING SERIES		0								
0		2					WBSG2701		ROD CENTERPIN SERIES		0								
0		2					WBSG2703		ROD SPIN  SERIES		0								
0		2					WBSFCSC10		ROOSTERFISH T-SHIRT LS		0								
0		2					WBSG7200		Shirt Sage Pro Bamboo		0								
0		2					WBSFCTE10		SIMMS STEELHEAD SS		0								
0		2					WBSFCTB10		SIMMS SWIMMING BROWN SSL		0								
0		2					WBSFCFE10		SMALLMOUTH BASS T-SHIRT SS		0								
0		2					WBSFCSD10		SNOOK T-SHIRT LS		0								
0		2					WBSG7204		Soft-shell Jacket "Skagit River"		0								
0		2					WBSFCSE10		STRIPED BASS T-SHIRT LS		0								
0		2					WBSG7341		Sweatshirt Hooded		0								
0		2					WBSG7202		Technical Mock "10,000 Island"		0								
0		2					WBSG7203		Technical Polo "Sage Performance"		0								
0		2					WBSG7572		Tee Brook Trout Logo		0								
0		2					WBSG7571		Tee History of Rods II		0								
0		2					WBSG7569		Tee Long Sleeve Perfecting Performance		0								
0		2					WBSG7573		Tee Rods and Reels		0								
0		2					WBSG7574		Tee Sage Ladies Rhinestone		0								
0		2					WBSG7570		Tee Tight Loops		0								
0		2					WBSFCTY10		TEE YOUTH RAINBOW SS		0								
0		2					WBSFCTS40		TROUTWRAP SS		0								
0		2					WBSFCWP10		W'S SUPERLIGHT ZO PANT		0								
0		2					WBSG7339		Women's Fleece Zip		0								
0		0					scan/co=yes/fi=products/sf=category/se=Accessories/op=eq/tf=prod_group,description		Accessories		0								
0		1					scan/co=yes/fi=products/sf=category/se=Accessories/op=eq/sf=prod_group/se=Luggage/op=eq/tf=description		Luggage		0								
0		2					WBSFARD		REEL DEAL		0								
0		1					scan/co=yes/fi=products/sf=category/se=Accessories/op=eq/sf=prod_group/se=Maintenance/op=eq/tf=description		Maintenance		0								
0		2					WBSFD06		GORE-TEX REPAIR KIT		0								
0		2					WBSFDR0		GORE-TEX REVIVEX		0								
0		2					WBSFARL10		QUICKLACE CONVERSION KIT		0								
0		2					WBSFSL20		REPLACEMENT LACES		0								
0		1					scan/co=yes/fi=products/sf=category/se=Accessories/op=eq/sf=prod_group/se=Misc/op=eq/tf=description		Misc		0								
0		2					WBSFARE		RETRACTOR		0								
0		2					WBSFAFP		SUPER-FLY PATCH		0								
0		2					WBSFABO		THIRSTY TROUT BOTTLE OPENER		0								
0		1					scan/co=yes/fi=products/sf=category/se=Accessories/op=eq/sf=prod_group/se=Suncare/op=eq/tf=description		Suncare		0								
0		2					WBSFADL		LIP BALM		0								
0		2					WBSFADS		SUNSCREEN LOTION		0								
0		1					scan/co=yes/fi=products/sf=category/se=Accessories/op=eq/sf=prod_group/se=Wading/op=eq/tf=description		Wading		0								
0		2					WBSFABM10		BACKMAGIC WADING BELT		0								
0		2					WBSFASB9		BACKSAVER BELT		0								
0		2					WBSFAGS		GUARD SOCKS		0								
0		2					WBSFAGG		GUIDE MODEL GRAVEL GUARD		0								
0		2					WBSFARC		HARD BITE BOOT STUDS		0								
0		2					WBSFASB1		NEOPRENE WADING BELT		0								
0		2					WBSFANS		NEOPRENE WADING SOCK		0								
0		2					WBSFAWS		WADING STAFF		0								
0		2					WBSFAWB		WEB WADING BELT		0								
0		0					scan/co=yes/fi=products/sf=category/se=Bags/op=eq/tf=prod_group,description		Bags		0								
0		1					scan/co=yes/fi=products/sf=category/se=Bags/op=eq/sf=prod_group/se=Luggage/op=eq/tf=description		Luggage		0								
0		2					WBSFLB		DRY CREEK BOAT BAG		0								
0		2					WBSFBDD		DRY CREEK DUFFEL		0								
0		2					WBSFBDP		DRY CREEK TECH POUCH		0								
0		2					WBSFLDW107		DRY CREEK WADER BAG		0								
0		2					WBSFBWB56		WADER BAG		0								
0		1					scan/co=yes/fi=products/sf=category/se=Bags/op=eq/sf=prod_group/se=Packs/op=eq/tf=description		Packs		0								
0		2					WBSFPDB10		DRY CREEK BACKPACK		0								
0		2					WBSFPDA10		DRY CREEK CAMERA BAG		0								
0		2					WBSFPDC10		DRY CREEK CHEST PACK		0								
0		2					WBSFPDH10		DRY CREEK CHEST/HIP PACK		0								
0		2					WBSFPDL10		DRY CREEK ROLLTOP LUMBAR BAG		0								
0		0					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/tf=prod_group,description		Clothing		0								
0		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Boots/op=eq/tf=description		Boots		0								
0		2					WBSFSN		FREESTONE BOOT		0								
0		2					WBSFSGF		G3 BOOT		0								
0		2					WBSFSG		GUIDE BOOT		0								
0		2					WBSFSS		HEADWATERS BOOT		0								
0		2					WBSFSH		L2 WADING BOOT		0								
0		2					WBSFSSF		RIVER SANDAL		0								
0		2					WBSFST		RIVERSHED WADING BOOT		0								
0		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Gloves/op=eq/tf=description		Gloves		0								
0		2					WBSFHFG10510		FREESTONE GLOVE HALF		0								
0		2					WBSFASG		SUNGLOVES TAN		0								
0		2					WBSFHFG30564		THERMAL PRO HALF-FINGER GLOVE		0								
0		2					WBSFHFG40564		WIND STOPPER GLOVE HALF		0								
0		2					WBSFHFM10564		WINDSTOPPER FOLDOVER MITT		0								
0		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Hat/op=eq/tf=description		Hat		0								
0		2					WBSFH8P10		8 LONG BILL LB CAP		0								
0		2					WBSFHAC108		CLASSIC ADMIRAL CAP		0								
0		2					WBSFHCL10		CLASSIC LOGO CAP		0								
0		2					WBSFHEB106		EXSTREAM BALACLAVA		0								
0		2					WBSFHFH106		FLATS HAT		0								
0		2					WBSFHFS10		FOREST SERVICE CAP		0								
0		2					WBSFHGE106		GORE-TEX EXSTREAM HAT		0								
0		2					WBSFHKC108		KRIEGER CRUSHER		0								
0		2					WBSFHMF108		MICROFIBER CAP		0								
0		2					WBSFASF50		SALTWATER FISHING HAT TAN		0								
0		2					WBSFHSS106		SOLAR SOMBRERO		0								
0		2					WBSFASC		SUNCLAVA		0								
0		2					WBSFHRH108		SUNSHIELD HAT		0								
0		2					WBSFHTT107		TECH TWILL CAP		0								
0		2					WBSFHTR108		TRUCKER CAP		0								
0		2					WBSFHWT10		WASHED TWILL SB		0								
0		2					WBSFASH		WASHED TWILL SB		0								
0		2					WBSFHWC10		WAXED CANVAS CAP		0								
0		2					WBSFASK		WINDSTOPPER  STOCKING CAP		0								
0		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Layering/op=eq/tf=description		Layering		0								
0		2					WBSFLSP10864		 GUIDE FLEECE PANT		0								
0		2					WBSFCSF10		DOBBY POLARTEC PULLOVER		0								
0		2					WBSFFT		RIVERTEK HEAVYWEIGHT ZIP TOP		0								
0		2					WBSFLP		RIVERTEK MIDWEIGHT BOTTOM		0								
0		2					WBSFULTI10		RIVERTEK MIDWEIGHT ZIP TOP		0								
0		2					WBSFLWB108		WADERWICK BOTTOM		0								
0		2					WBSFLWC10		WADERWICK CREW TOP		0								
0		2					WBSFLMB10		WADERWICK FLEECE PANT		0								
0		2					WBSFLMT10		WADERWICK FLEECE TOP		0								
0		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Outerwear/op=eq/tf=description		Outerwear		0								
0		2					WBSFRA		 IN-VEST JACKET		0								
0		2					WBSFOCG10		CLASSIC GUIDE JACKET		0								
0		2					WBSFOXJ10		EXSTREAM INSULATED JACKET		0								
0		2					WBSFOFJ10		FREESTONE JACKET		0								
0		2					WBSFOFS10		FREESTONE SOFT SHELL JACKET		0								
